rank,lemma,PoS,DISPERSION,TOT FREQ,SPOKEN,FICTION,POP MAG,NEWSPAPER,ACADEMIC,MAG:News/Opin,MAG:Financial,MAG:Sci/Tech,MAG:Soc/Arts,MAG:Religion,MAG:Sports,MAG:Entertain,MAG:Home/Health,MAG:Afric-Amer,MAG:Children,MAG:Women/Men,NEWS:Misc,NEWS:News_Intl,NEWS:News_Natl,NEWS:News_Local,NEWS:Money,NEWS:Life,NEWS:Sports,NEWS:Editorial,ACAD:History,ACAD:Education,ACAD:Geog/SocSci,ACAD:Law/PolSci,ACAD:Humanities,ACAD:Phil/Rel,ACAD:Sci/Tech,ACAD:Medicine,ACAD:Misc,SPOK:ABC,SPOK:NBC,SPOK:CBS,SPOK:CNN,SPOK:FOX,SPOK:MSNBC,SPOK:PBS,SPOK:NPR,SPOK:Indep,FIC:Gen (Book),FIC:Gen (Jrnl),FIC:SciFi/Fant,FIC:Juvenile,FIC:Movies
32051,electrolysis,n,0.81,131,12,21,53,10,35,1,1,23,2,0,6,0,12,1,0,7,5,0,0,1,0,4,0,0,0,0,0,2,1,0,24,1,7,0,1,2,0,0,0,0,7,2,1,4,7,0,9
32061,differentiating,j,0.83,128,1,4,13,5,104,3,1,5,0,1,1,0,0,1,0,1,1,0,1,0,2,1,0,0,10,19,30,7,9,7,11,8,3,1,0,0,0,0,0,0,0,0,1,2,1,0,0
32071,olympiad,n,0.76,140,15,1,11,58,55,1,0,5,1,0,0,0,1,3,0,0,14,0,1,18,0,18,6,1,0,24,4,0,0,0,26,0,1,2,0,4,6,0,0,0,3,0,0,0,1,0,0
32081,business-as-usual,j,0.79,133,13,4,32,21,61,16,0,3,8,2,3,0,0,0,0,0,8,0,2,2,0,2,2,5,6,2,4,2,0,2,44,0,1,1,0,4,4,0,0,1,3,0,2,0,2,0,0
32091,depoliticize,v,0.84,126,15,0,17,11,83,10,0,0,0,1,0,0,1,0,0,5,5,2,0,2,0,0,0,2,29,0,14,12,9,3,12,0,4,7,0,0,3,0,0,3,2,0,0,0,0,0,0
32101,rounding,j,0.58,183,4,16,31,15,117,6,4,6,4,0,2,2,6,0,0,1,4,0,1,0,4,5,1,0,3,3,7,2,3,1,89,9,0,2,0,0,0,1,0,0,0,1,4,8,3,0,1
32111,subsidence,n,0.79,134,5,9,23,32,65,1,0,15,2,0,4,0,1,0,0,0,21,2,4,3,0,2,0,0,1,0,7,13,0,0,44,0,0,0,0,0,0,1,2,0,2,0,1,6,2,0,0
32121,inbred,j,0.88,120,5,33,40,18,24,11,4,7,3,2,0,5,7,0,0,1,8,0,0,1,2,4,2,1,0,2,1,1,1,0,19,0,0,1,0,0,1,0,0,0,3,0,5,16,6,2,4
32131,unclothed,j,0.88,120,12,44,26,17,20,5,0,5,1,3,3,3,0,2,0,4,7,2,0,0,1,6,1,0,0,0,0,0,13,2,2,0,3,0,3,2,4,0,0,0,2,1,6,20,17,1,0
32141,depersonalization,n,0.67,158,2,0,15,4,137,5,0,4,3,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,20,68,1,20,14,0,12,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
32151,banknote,n,0.63,167,5,55,21,8,73,9,0,6,2,0,0,0,3,0,0,1,3,1,0,0,1,2,0,1,61,0,3,0,2,1,6,0,0,0,0,0,0,0,0,5,0,0,5,33,1,10,6
32161,overdrawn,j,0.87,121,24,13,18,34,31,7,1,0,2,3,2,0,1,1,1,0,17,1,6,0,3,3,1,3,10,1,9,4,3,1,2,0,1,9,2,1,1,0,0,3,8,0,3,7,2,0,1
32171,high-spirited,j,0.90,116,11,33,39,25,7,8,1,0,6,0,6,5,4,3,2,4,8,3,1,1,1,9,1,1,0,1,1,0,2,0,1,0,2,4,1,1,2,0,0,0,3,0,13,14,3,3,0
